date,season,neutral,home,away,elo_h,elo_a
11/5/2022,2022,0,HOU,PHI,1600.129119,1546.433821
11/3/2022,2022,0,PHI,HOU,1548.259208,1598.303732
11/2/2022,2022,0,PHI,HOU,1552.32124,1594.241701
11/1/2022,2022,0,PHI,HOU,1546.100348,1600.462592
10/29/2022,2022,0,HOU,PHI,1598.279125,1548.283816
10/28/2022,2022,0,HOU,PHI,1601.186024,1545.376917
10/23/2022,2022,0,NYY,HOU,1564.027651,1599.249636
10/23/2022,2022,0,PHI,SDP,1543.645311,1532.208444
10/22/2022,2022,0,PHI,SDP,1540.26769,1535.586065
10/22/2022,2022,0,NYY,HOU,1568.349589,1594.927698
10/21/2022,2022,0,PHI,SDP,1537.828958,1538.024797
10/20/2022,2022,0,HOU,NYY,1593.310791,1569.966497
10/19/2022,2022,0,HOU,NYY,1591.121049,1572.156238
10/19/2022,2022,0,SDP,PHI,1534.848151,1541.005603
10/18/2022,2022,0,SDP,PHI,1538.065914,1537.787841
10/18/2022,2022,0,NYY,CLE,1569.315123,1538.67886
10/16/2022,2022,0,CLE,NYY,1541.320463,1566.67352
10/15/2022,2022,0,SDP,LAD,1534.539292,1605.0034
10/15/2022,2022,0,CLE,NYY,1539.218879,1568.775104
10/15/2022,2022,0,SEA,HOU,1536.83359,1589.274189
10/15/2022,2022,0,PHI,ATL,1532.966243,1574.575964
10/14/2022,2022,0,SDP,LAD,1531.749857,1607.792835
10/14/2022,2022,0,PHI,ATL,1526.191728,1581.350479
10/14/2022,2022,0,NYY,CLE,1572.224866,1535.769117
10/13/2022,2022,0,HOU,SEA,1587.468047,1538.639732
10/12/2022,2022,0,LAD,SDP,1612.275376,1527.267316
10/12/2022,2022,0,ATL,PHI,1579.195848,1528.346359
10/11/2022,2022,0,LAD,SDP,1610.798556,1528.744136
10/11/2022,2022,0,NYY,CLE,1569.816766,1538.177217
10/11/2022,2022,0,HOU,SEA,1586.072022,1540.035757
10/11/2022,2022,0,ATL,PHI,1582.069272,1525.472935
10/9/2022,2022,0,NYM,SDP,1546.73499,1522.636401
10/8/2022,2022,0,STL,PHI,1537.006998,1522.205591
10/8/2022,2022,0,NYM,SDP,1543.593369,1525.778022
10/8/2022,2022,0,TOR,SEA,1547.279582,1537.657726
10/8/2022,2022,0,CLE,TBD,1536.381835,1534.821272
10/7/2022,2022,0,NYM,SDP,1549.852158,1519.519233
10/7/2022,2022,0,TOR,SEA,1551.930492,1533.006816
10/7/2022,2022,0,STL,PHI,1541.124874,1518.087714
10/7/2022,2022,0,CLE,TBD,1534.550476,1536.652631
10/5/2022,2022,0,LAD,COL,1609.563689,1456.28427
10/5/2022,2022,0,SEA,DET,1532.071989,1459.130818
10/5/2022,2022,0,SDP,SFG,1523.635652,1514.977278
10/5/2022,2022,0,NYM,WSN,1547.993975,1431.193587
10/5/2022,2022,0,MIL,ARI,1518.051556,1486.367848
10/5/2022,2022,0,HOU,PHI,1585.125589,1519.034148
10/5/2022,2022,0,FLA,ATL,1461.135032,1585.184208
